,Data Center,Company,Address,City,State,lat,lon,White space,Gross power
1064,Mesa,Brookfield Infrastructure Partners LP,,,,,,6825.0,
1065,BurstNET,Burst.net,,,,,,,
1066,"Metro Atlanta, Georgia",ByteGrid,,,,,,,
1067,Metro Washington DC 2,ByteGrid,,,,,,,
1068,C I Host Chicago,C I Host,,,,,,,
1069,C I Host Dallas,C I Host,,,,,,,
1070,C I Host Newark,C I Host,,,,,,,
1071,Starkville,C Spire,,,,,,,3000.0
1072,C7 Lindon,"C7 Data Centers, Cloud and IT Services",,,,,,,
1073,City Creek Data Center,"C7 Data Centers, Cloud and IT Services",,,,,,,
1074,Granite Point,"C7 Data Centers, Cloud and IT Services",,,,,,,8000.0
1075,Granite Point II,"C7 Data Centers, Cloud and IT Services",,,,,,8825.0,
1076,11500 NW 25th Street,Cable&Wireless Worldwide,,,,,,,
1077,New Jersey,California Public Employees' Retirement System (CalPERS),,,,,,,
1078,Somerville,Cambridge Network Solutions,,,,,,,
1079,Capital Internet,Capital Internet,,,,,,,
1080,Meadowville,CapitalOne,,,,,,,
1081,3000SkylineDallas,CAPSTAR Commercial Real Estate Service,,,,,,,
1082,Carolina Internet / CaroNet,CaroNet,,,,,,,
1083,Dallas,Carrier-1 Data Centers,,,,,,5574.0,
1084,CarrierCom,CarrierCom,,,,,,,
1085,11085 Sun Center Drive,Carter Validus Mission Critical REIT,,,,,,2597.0,
1086,3065 Gold Camp Drive,Carter Validus Mission Critical REIT,,,,,,,
1087,Bend,Cascade Divide,,,,,,,
1088,Roseburg,Cascade Divide,,,,,,2400.0,
1089,Cavern Technologies,Cavern Technologies,,,,,,,
1090,11191 Victoria Drive,CBRE,,,,,,,
1091,200 South 10th Street,CBRE,,,,,,,
1092,Atlanta,CBRE,,,,,,,
1093,Coldstream Research Campus,CBRE,,,,,,,
1094,Enterprise Data Center,CBRE,,,,,,,
1095,Innovation Park- Greenfield,CBRE,,,,,,,
1096,New Albany Business Park,CBRE,,,,,,,
1097,Oxford- Greenfield,CBRE,,,,,,,
1098,Parkway Center at Beaumeade,CBRE,,,,,,,
1099,Rockrimmon Boulevard,CBRE,,,,,,,
1100,Schaumburg,CBRE,,,,,,,40000.0
1101,Velocity Park,CBRE,,,,,,,
1102,CBTS Cincinnati Data Center,CBTS,,,,,,,
1103,CBTS Florence Data Center,CBTS,,,,,,,
1104,CBTS Gold Coast Data Center,CBTS,,,,,,,
1105,CBTS Grand Rapids Data Center,CBTS,,,,,,,
1106,CBTS Hamilton Data Center,CBTS,,,,,,,
1107,CBTS Lebanon Data Center,CBTS,,,,,,,
1108,CBTS Lombard Data Center,CBTS,,,,,,,
1109,CBTS Mason Data Center,CBTS,,,,,,,
1110,CBTS South Bend Data Center I,CBTS,,,,,,,
1111,CBTS South Bend Data Center II,CBTS,,,,,,,
1112,Bracknell,CentriLogic,,,,,,,
1113,Buffalo,CentriLogic,,,,,,,
1114,Lenoir,CentriLogic,,,,,,,
1115,Rochester,CentriLogic,,,,,,,
1116,US Virgin Islands,CentriLogic,,,,,,,
1117,1124 Hardy Rd,CenturyLink,,,,,,,
1118,1918 Wake Forest Rd,CenturyLink,,,,,,230.0,
1119,200 N. LaSalle,CenturyLink,,,,,,,
1120,300 Bent Street,CenturyLink,,,,,,810.0,
1121,Atlanta 1,CenturyLink,,,,,,,
1122,Atlanta 2,CenturyLink,,,,,,4180.0,
1123,Berry Hill (Melrose Ave),CenturyLink,,,,,,,
1124,Binghamton (Henry Street),CenturyLink,,,,,,,
1125,Birmingham (North 20th Street),CenturyLink,,,,,,,
1126,Boise (North Capitol),CenturyLink,,,,,,,
1127,Boise (West Airportway),CenturyLink,,,,,,,
1128,Cedar Hills (Millikan Way),CenturyLink,,,,,,,
1129,Chicago 1,CenturyLink,,,,,,2110.0,
1130,Chicago 2,CenturyLink,,,,,,,
1131,Cincinnati,CenturyLink,,,,,,,
1132,Cincinnati (Meridian Way),CenturyLink,,,,,,,
1133,Columbia (Main Street),CenturyLink,,,,,,,
1134,Columbus (Front Avenue),CenturyLink,,,,,,,
1135,Columbus 1,CenturyLink,,,,,,,
1136,Dallas,CenturyLink,,,,,,,
1137,Dallas (Regal Row),CenturyLink,,,,,,,
1138,Denver,CenturyLink,,,,,,,
1139,Denver (East Jewell Ave),CenturyLink,,,,,,870.0,
1140,Detroit,CenturyLink,,,,,,,
1141,Durham (Ellis Road),CenturyLink,,,,,,,
1142,Fort Lauderdale (NE 3rd Avenue),CenturyLink,,,,,,,
1143,Greensboro (Gallimore Dairy Road),CenturyLink,,,,,,,
1144,Honolulu (Paiea Street),CenturyLink,,,,,,,
1145,Houston,CenturyLink,,,,,,1370.0,
1146,Houston (Empire Central Drive),CenturyLink,,,,,,,
1147,Indianapolis (West 86th Street),CenturyLink,,,,,,,
1148,Jacksonville (West Forsyth Street),CenturyLink,,,,,,,
1149,Jersey City (Evertrust Plaza),CenturyLink,,,,,,,
1150,Kansas City,CenturyLink,,,,,,,
1151,Kansas City,CenturyLink,,,,,,,
1152,Lexington (West Vine Street),CenturyLink,,,,,,,
1153,Little Rock (West Capitol),CenturyLink,,,,,,,
1154,Long Island,CenturyLink,,,,,,,
1155,Los Angeles,CenturyLink,,,,,,3100.0,
1156,Louisville (West Broadway),CenturyLink,,,,,,,
1157,Memphis (Cordova Road),CenturyLink,,,,,,,
1158,Memphis (East Raines Road),CenturyLink,,,,,,,
1159,Miami (Northwest 5th Street),CenturyLink,,,,,,,
1160,Minneapolis (11th Avenue South),CenturyLink,,,,,,,
1161,Mobile (South Royal Street),CenturyLink,,,,,,,
1162,Nashville,CenturyLink,,,,,,,
1163,Newark,CenturyLink,,,,,,,
1164,Oakland,CenturyLink,,,,,,270.0,
1165,Orange County,CenturyLink,,,,,,,
1166,Orlando (Lake Destiny Drive),CenturyLink,,,,,,380.0,
1167,Philadelphia,CenturyLink,,,,,,,
1168,Phoenix (North 3rd Street),CenturyLink,,,,,,,
1169,Phoenix (South 16th Street),CenturyLink,,,,,,2430.0,
1170,Portland (Southwest 6th Avenue),CenturyLink,,,,,,,
1171,Raleigh (Departure Drive),CenturyLink,,,,,,,
1172,Ridge Lea,CenturyLink,,,,,,,
1173,Seattle,CenturyLink,,,,,,695.0,
1174,SLC Delong,CenturyLink,,,,,,,
1175,St. Louis,CenturyLink,,,,,,,
1176,Stamford,CenturyLink,,,,,,,
1177,Tampa,CenturyLink,,,,,,,
1178,Tucson (South Evans Boulevard),CenturyLink,,,,,,,
1179,Washington DC,CenturyLink,,,,,,,
1180,CeraNet DC1,CeraNet,,,,,,,
1181,Lafayette,CGi,,,,,,,
1182,Austin,CH3 Data,,,,,,,
1183,Englewood,Charter Communications,,,,,,,
1184,Westover Hills,Chevron,,,,,,,
1185,Cincinnatti Bell - West 7th Street,Cincinnatti Bell,,,,,,,
1186,Allen 2260 Co Rd 196,Cisco,,,,,,,
1187,Richardson,Cisco,,,,,,,
1188,Cisp,CISP,,,,,,,
1189,San Antonio,CityNAP,,,,,,,
1190,Citynet Columbus,Citynet,,,,,,,
1191,Citynet Indianapolis,Citynet,,,,,,,
1192,Citynet Pittsburgh,Citynet,,,,,,,
1193,Clear Channel Satellite,Clear Channel,,,,,,,
1194,Clear Rate Battle Creek POP,"Clear Rate Communications, Inc",,,,,,,
1195,Clear Rate Southfield POP,"Clear Rate Communications, Inc",,,,,,,
1196,"ClearBearing, Inc.","ClearBearing, Inc.",,,,,,,
1197,ClearData,ClearData,,,,,,,
1198,Dallas,Clearview International,,,,,,,
1199,Waco,Clearview International,,,,,,,
1200,Seattle,Clise Properties,,,,,,,
1201,141 West Jackson Boulevard,CME Group,,,,,,,
1202,Aurora,CME Group,,,,,,,
1203,South Wacker Chicago,CME Group,,,,,,,
1204,CNS Colo,CNS Colo,,,,,,,
1205,Cobalt Cheyenne,Cobalt Data Centers,,,,,,,
1206,Cobalt Sahara,Cobalt Data Centers,,,,,,,
1207,Los Angeles,Cogeco Peer 1,,,,,,,
1208,Miami,Cogeco Peer 1,,,,,,,
1209,New York,Cogeco Peer 1,,,,,,,
1210,Anaheim (South Harbor Boulevard),Cogent Communications Inc.,,,,,,109.0,
1211,Atlanta (Marietta Street),Cogent Communications Inc.,,,,,,727.0,
1212,Boca Raton (Conference Way North),Cogent Communications Inc.,,,,,,930.0,
1213,Boston (Innerbelt Road),Cogent Communications Inc.,,,,,,1115.0,
1214,Chicago (West Jackson Boulevard),Cogent Communications Inc.,,,,,,1109.0,
1215,Cleveland (Euclid Ave),Cogent Communications Inc.,,,,,,465.0,
1216,Columbus (North 5th Street),Cogent Communications Inc.,,,,,,502.0,
1217,Detroit (West Big Beaver Road),Cogent Communications Inc.,,,,,,522.0,
1218,Kansas City,Cogent Communications Inc.,,,,,,,
1219,Miami (Southeast 1st Street),Cogent Communications Inc.,,,,,,499.0,
1220,Naperville,Cogent Communications Inc.,,,,,,,
1221,New York (Whitehall Street),Cogent Communications Inc.,,,,,,,
1222,Pittsburg,Cogent Communications Inc.,,,,,,,
1223,AtlantaNAP,"Colo Facilities Atlanta, LLC",,,,,,,
1224,Colo@34,"COLO@, LLC",,,,,,,
1225,Colo@55,"COLO@, LLC",,,,,,,
1226,Los Angeles DC 2,Colocation America,,,,,,,
1227,Los Angeles DC 5,Colocation America,,,,,,,
1228,San Francisco DC 1,Colocation America,,,,,,,
1229,Beltsville,Coloco,,,,,,,
1230,Coloco #8,Coloco,,,,,,1207.0,
1231,Dallas,ColoCrossing,,,,,,5946.0,11100.0
1232,Dallas 2,Cologix,,,,,,1115.0,
1233,Brooklyn,ColoGuard,,,,,,,
1234,ColoGuys,ColoGuys,,,,,,,
1235,ColoGuys#2,ColoGuys,,,,,,,
1236,ColoHouse Miami,ColoHouse,,,,,,,
1237,ColoHouse Premier Data Center,ColoHouse,,,,,,,
1238,Miami,ColoHouse,,,,,,,
1239,2701 Devils Glen Road,ColoHub LLC,,,,,,,
1240,Bedford Data Center,ColoSpace,,,,,,,
1241,Boston Data Center (Somerville),ColoSpace,,,,,,,
1242,Burlington Data Center,ColoSpace,,,,,,,
1243,ColoSpace Waltham,ColoSpace,,,,,,,
1244,Hartford Data Center,ColoSpace,,,,,,,
1245,Marlborough Data Center,ColoSpace,,,,,,,
1246,Portland Data Center,ColoSpace,,,,,,,
1247,Portsmouth Data Center,ColoSpace,,,,,,,
1248,Providence Data Center,ColoSpace,,,,,,,
1249,Rockland Data Center,ColoSpace,,,,,,,
1250,Westborough Data Center,ColoSpace,,,,,,,
1251,Colostore.com,Colostore.com,,,,,,,
1252,CoLouisiana DC1,CoLouisiana,,,,,,,
1253,ColoUnlimited,ColoUnlimited,,,,,,,
1254,1101 Space Park Drive,Colovore,,,,,,,
1255,Hillsboro,Comcast Cable,,,,,,,
1256,Grand Rapids,COMLINK,,,,,,,
1257,Compass Bank Bldg Albuquerque,Compass Datacenters,,,,,,,
1258,Franklin,Compass Datacenters,,,,,,,
1259,New Albany,Compass Datacenters,,,,,,,1200.0
1260,Connectria,Connectria,,,,,,,
1261,Atlantic City,Continent 8 Technologies,,,,,,,
1262,180 E Broad Street (Continental Plaza Building),Continental Realty,,,,,,,
1263,Continuity Centers,Continuity Centers,,,,,,,
1264,Continuity Centers Chappaqua,Continuity Centers,,,,,,,
1265,Continuum Data Centers,Continuum Datacenters,,,,,,,
1266,ControlCircle New York,ControlCircle,,,,,,,
1267,Core NAP,Core NAP,,,,,,,
1268,Somerset NJ,Core Services Corp,,,,,,,
1269,Bush Terminal Telecom Center,CoreIT,,,,,,,
1270,Chicago,CoreLink,,,,,,,
1271,CoreLink Seattle02,CoreLink,,,,,,,
1272,Phoenix,CoreLink,,,,,,,
1273,Tukwila,CoreLink,,,,,,,
1274,Chicago,CoreSite,,,,,,16537.0,
1275,Los Angeles (900),CoreSite,,,,,,39391.0,
1276,Los Angeles (One Wilshire),CoreSite,,,,,,13843.0,
1277,Miami,CoreSite,,,,,,3995.0,
1278,New York,CoreSite,,,,,,4459.0,
1279,Reston 1,CoreSite,,,,,,,
1280,Reston 2,CoreSite,,,,,,,
1281,Silicon Valley 1,CoreSite,,,,,,7897.0,
1282,Silicon Valley 2,CoreSite,,,,,,7061.0,
1283,Silicon Valley 3,CoreSite,,,,,,,
1284,Silicon Valley 4,CoreSite,,,,,,,
1285,Silicon Valley 5,CoreSite,,,,,,,
1286,Washington DC 1,CoreSite,,,,,,2044.0,
1287,7505 John W. Carpenter Freeway,CoreSpace,,,,,,,
1288,CoreXchange Infomart,CoreXchange,,,,,,,
1289,CoSentry Data Center 1,CoSentry,,,,,,,
1290,CoSentry Midlands,CoSentry,,,,,,,
1291,CoSentry Sioux Falls,CoSentry,,,,,,,
1292,Kansas City Data Center,CoSentry,,,,,,,
1293,Phoenix Data Center,"Cox Communications, Inc.",,,,,,,
1294,Creative Network Innovations,Creative Network Innovations (CNI),,,,,,,
1295,Cross Connect Solutions,Crossconnectsolutions,,,,,,,
1296,"Farmingdale, NY",Crown Castle,,,,,,,
1297,Marlborough,Crown Castle,,,,,,,
1298,New York ,Crown Castle,,,,,,,
1299,Providence,Crown Castle,,,,,,,
1300,Worcester,Crown Castle,,,,,,,
1301,CSSNW Bellingham,"CSS Integration & Communication, Inc.",,,,,,,
1302,Wachovia,"CXP CyberXpress, Inc.",,,,,,,
1303,West 2,"CXP CyberXpress, Inc.",,,,,,7432.0,
1304,210 N. Tucker Blvd,Cybercon,,,,,,,
1305,1919 w Lone Cactus Dr,CyberTrails,,,,,,,
1306,7th St.,CyrusOne,,,,,,19695.0,
1307,Aurora,CyrusOne,,,,,,9941.0,184000.0
1308,Austin 3,CyrusOne,,,,,,11148.0,18000.0
1309,Crescent,CyrusOne,,,,,,,2000.0
1310,Goldcoast,CyrusOne,,,,,,,
1311,Monroe,CyrusOne,,,,,,557.0,1000.0
1312,North Cincinnati,CyrusOne,,,,,,8826.0,16000.0
1313,Norwalk,CyrusOne,,,,,,6968.0,16000.0
1314,Raleigh-Durham,CyrusOne,,,,,,9755.0,50000.0
1315,San Antonio 1,CyrusOne,,,,,,4088.0,20000.0
1316,San Antonio 2,CyrusOne,,,,,,18209.0,
1317,Somerset,CyrusOne,,,,,,9987.0,50000.0
1318,Stamford,CyrusOne,,,,,,1858.0,4000.0
1319,Sterling 4,CyrusOne,,,,,,2990.0,12600.0
1320,Sterling 5,CyrusOne,,,,,,92903.0,105000.0
1321,Totowa,CyrusOne,,,,,,4645.0,16000.0
1322,Wappingers Falls,CyrusOne,,,,,,3437.0,10000.0
1323,West 2,CyrusOne,,,,,,7432.0,
1324,West 3,CyrusOne,,,,,,41806.0,
1325,1 First avenue,Cyxtera,,,,,,4356.0,4000.0
1326,14901 FAA Blvd.,Cyxtera,,,,,,8957.0,12000.0
1327,"14901 FAA Blvd., Building 2",Cyxtera,,,,,,8382.0,12000.0
1328,17836 Gilette Avenue,Cyxtera,,,,,,10908.0,19500.0
1329,210 Hudson Street,Cyxtera,,,,,,3459.0,3400.0
1330,22860 International Drive,Cyxtera,,,,,,4151.0,13600.0
1331,22995 Wilder Court,Cyxtera,,,,,,2945.0,4800.0
1332,300 Boulevard East,Cyxtera,,,,,,6225.0,12000.0
1333,"350 East Cermak, 4th floor",Cyxtera,,,,,,3465.0,18000.0
1334,"350 East Cermak, 7th floor",Cyxtera,,,,,,4574.0,8500.0
1335,375 Riverside Parkway,Cyxtera,,,,,,56646.0,6750.0
1336,4650 Old Ironsides Drive,Cyxtera,,,,,,8211.0,18100.0
1337,4700 Old Ironsides Drive,Cyxtera,,,,,,6583.0,18100.0
1338,587 McDonnell Blvd.,Cyxtera,,,,,,414.0,8000.0
1339,9110 Commerce Center Circle,Cyxtera,,,,,,764.0,21900.0
1340,9180 Commerce Center Circle,Cyxtera,,,,,,4772.0,21900.0
1341,Savvis CH,Cyxtera,,,,,,15879.0,25600.0
1342,W Capovilla Ave 5225,Cyxtera,,,,,,40529.0,315000.0
1343,801 Main Street NW,Dacentec,,,,,,,
1344,Dallas,DartPoints,,,,,,,
1345,Data Ark - Stamford,"Data Ark Systems, LLC.",,,,,,,
1346,Data Cave,Data Cave,,,,,,,
1347,Data Center NYC - LGA4,Data Center NYC,,,,,,,
1348,739 Welch Drive,Data Center West,,,,,,,
1349,Ashburn,Data Foundry,,,,,,,
1350,Austin,Data Foundry,,,,,,,
1351,Houston 2,Data Foundry,,,,,,32516.0,60000.0
1352,Houston Data Center,Data Foundry,,,,,,,
1353,Texas 1 Data Center,Data Foundry,,,,,,,
1354,Data One Kingston Pike,Data One Corporation,,,,,,,
1355,Data One Ray Mears,Data One Corporation,,,,,,,
1356,Chicago Board of Trade Building,Data Stream,,,,,,,
1357,102 S. Tejon,Data102,,,,,,,
1358,Data 393 Englewood,"Data393 Holdings, LLC",,,,,,,
1359,East Twin Cities Data Center,DataBank,,,,,,4645.0,20000.0
1360,North Dallas Data Center,DataBank,,,,,,3902.0,20000.0
1361,Pine Ridge Data Center,DataBank,,,,,,1115.0,5000.0
1362,South Lake Data Center,DataBank,,,,,,557.0,1000.0
1363,West Twin Cities Data Center,DataBank,,,,,,1486.0,5000.0
1364,"Datacenter 101, LLC",Datacenter 101,,,,,,,
1365,SCG Services,DataCenter.BZ,,,,,,,
1366,DataChambers,DataChambers,,,,,,,
1367,Kannapolis,DataChambers,,,,,,4645.0,
1368,Raleigh,DataChambers,,,,,,,
1369,DataPipe Somerset,Datapipe,,,,,,,
1370,San Jose Live / Shopping Mall Colo,Datapipe,,,,,,,
1371,Boise,DataSite,,,,,,,
1372,Datatech Hosting,Datatech,,,,,,,
1373,"Dataware, LLC",Dataware Services,,,,,,,
1374,"Dataware, LLC",Dataware Services,,,,,,,
1375,Sioux Falls 3,Dataware Services,,,,,,,
1376,Datotel,Datotel,,,,,,,
1377,Lehigh Valley,DBSi,,,,,,,
1378,Tek Park,DBSi,,,,,,,
1379,Valley Forge,DBSi,,,,,,,
1380,Beaumeade I,DBT DATA,,,,,,,
1381,Beaumeade II,DBT DATA,,,,,,,20000.0
1382,Beaumeade III,DBT DATA,,,,,,,
1383,Beaumeade IV,DBT DATA,,,,,,,
1384,Harrisonburg,DBT DATA,,,,,,,6000.0
1385,Plano,Dell,,,,,,,
1386,Quincy,Dell,,,,,,,
1387,Marina Towers,DigiLink,,,,,,,
1388,New York,Digital Ocean,,,,,,,
1389,New York 2,Digital Ocean,,,,,,,
1390,New York 3,Digital Ocean,,,,,,,
1391,San Francisco,Digital Ocean,,,,,,,
1392,San Francisco 2,Digital Ocean,,,,,,,
1393,101 Aquila Way,Digital Realty Trust,,,,,,,
1394,105 Cabot St.,Digital Realty Trust,,,,,,3716.0,10000.0
1395,1100 Space Park Drive,Digital Realty Trust,,,,,,5200.0,3325.0
1396,1125 Energy Park Drive,Digital Realty Trust,,,,,,,
1397,113 N Myers,Digital Realty Trust,,,,,,669.0,810.0
1398,115 Second Avenue,Digital Realty Trust,,,,,,,
1399,11830 Webb Chapel Road,Digital Realty Trust,,,,,,11000.0,
1400,11900 E Cornell Ave,Digital Realty Trust,,,,,,9594.0,6500.0
1401,120 E. Van Buren,Digital Realty Trust,,,,,,16200.0,33840.0
1402,12001-12245 North Freeway,Digital Realty Trust,,,,,,2787.0,25075.0
1403,1201 Comstock,Digital Realty Trust,,,,,,8919.0,3825.0
1404,1232 Alma Road,Digital Realty Trust,,,,,,,
1405,125 North Myers Street,Digital Realty Trust,,,,,,685.0,810.0
1406,1350 Duane Avenue,Digital Realty Trust,,,,,,,
1407,150 South First Street,Digital Realty Trust,,,,,,,
1408,1500 Space Park Dr,Digital Realty Trust,,,,,,1600.0,9000.0
1409,1500 Towerview Road,Digital Realty Trust,,,,,,10000.0,
1410,1525 Comstock Street,Digital Realty Trust,,,,,,2716.0,7650.0
1411,1725 Comstock Street,Digital Realty Trust,,,,,,1951.0,7650.0
1412,1900 S. Price Road,Digital Realty Trust,,,,,,3500.0,10000.0
1413,2 Peekay Drive,Digital Realty Trust,,,,,,3000.0,15000.0
1414,200 North Nash Street,Digital Realty Trust,,,,,,,
1415,200 Paul Avenue 1-4,Digital Realty Trust,,,,,,130000.0,12000.0
1416,2001 Sixth Avenue,Digital Realty Trust,,,,,,9000.0,14025.0
1417,2010 East Centennial Circle,Digital Realty Trust,,,,,,1841.0,
1418,2045 & 2055 LaFayette Street,Digital Realty Trust,,,,,,,
1419,2055 E Technology Circle,Digital Realty Trust,,,,,,2300.0,5700.0
1420,21110 Ridgetop Circle,Digital Realty Trust,,,,,,,
1421,2121 S. Price Road,Digital Realty Trust,,,,,,16000.0,51000.0
1422,21551 Beaumeade Cir,Digital Realty Trust,,,,,,,
1423,21561-21571 Beaumeade Cir,Digital Realty Trust,,,,,,,
1424,2260 East El Segundo Blvd,Digital Realty Trust,,,,,,6317.0,15300.0
1425,2300 NW 89th Pl,Digital Realty Trust,,,,,,,
1426,2323 Bryan Street,Digital Realty Trust,,,,,,14500.0,24247.0
1427,2334 Lundy Place,Digital Realty Trust,,,,,,,
1428,2401 Walsh Street,Digital Realty Trust,,,,,,,
1429,2403 Walsh Street,Digital Realty Trust,,,,,,,
1430,2440 Marsh Lane,Digital Realty Trust,,,,,,5574.0,6750.0
1431,250 Williams Street NW,Digital Realty Trust,,,,,,,
1432,2501 S State Highway 121,Digital Realty Trust,,,,,,25000.0,2400.0
1433,2805 Lafayette Street,Digital Realty Trust,,,,,,4831.0,7650.0
1434,2820 Northwestern Parkway,Digital Realty Trust,,,,,,3716.0,50000.0
1435,3 Corporate Place,Digital Realty Trust,,,,,,2323.0,26000.0
1436,300 JFK Boulevard East,Digital Realty Trust,,,,,,9500.0,14000.0
1437,3011 Lafayette Street,Digital Realty Trust,,,,,,2500.0,12000.0
1438,3015 Winona Avenue,Digital Realty Trust,,,,,,,
1439,3080 Raymond Street,Digital Realty Trust,,,,,,,
1440,3105 Alfred Street,Digital Realty Trust,,,,,,341.0,7650.0
1441,350 E Cermak Rd. Chicago,Digital Realty Trust,,,,,,35000.0,100000.0
1442,36 NE 2nd St,Digital Realty Trust,,,,,,5000.0,2000.0
1443,365 Main Street,Digital Realty Trust,,,,,,7000.0,15000.0
1444,365 S Randolphville,Digital Realty Trust,,,,,,22000.0,22000.0
1445,375 Riverside Parkway,Digital Realty Trust,,,,,,7500.0,4000.0
1446,3825 NW Aloclek Place,Digital Realty Trust,,,,,,1672.0,14952.0
1447,400 S Akard Street,Digital Realty Trust,,,,,,8000.0,
1448,4025 Midway Rd,Digital Realty Trust,,,,,,3000.0,10000.0
1449,4030 Lafayette Center Drive,Digital Realty Trust,,,,,,2000.0,4000.0
1450,4040 Lafayette Center,Digital Realty Trust,,,,,,1579.0,4000.0
1451,4050 Lafayette Center Drive,Digital Realty Trust,,,,,,15747.0,6000.0
1452,43790 Devin Shafron Dr,Digital Realty Trust,,,,,,,
1453,43791 Devin Shafron Dr,Digital Realty Trust,,,,,,4000.0,12000.0
1454,43830 Devin Shafron Dr,Digital Realty Trust,,,,,,3500.0,10000.0
1455,43881 Devin Shafron Dr,Digital Realty Trust,,,,,,5500.0,16000.0
1456,43915 Devin Shafron Dr,Digital Realty Trust,,,,,,4935.0,12000.0
1457,43940 Digital Loudoun Plaza,Digital Realty Trust,,,,,,12000.0,44000.0
1458,44060 Digital Loudoun Plaza,Digital Realty Trust,,,,,,8500.0,32000.0
1459,44100 Digital Loudoun Plaza,Digital Realty Trust,,,,,,6500.0,25000.0
1460,44470 Chillum Place,Digital Realty Trust,,,,,,,
1461,4849 Alpha Road,Digital Realty Trust,,,,,,3500.0,9500.0
1462,55 Middlesex Turnpike,Digital Realty Trust,,,,,,4459.0,10000.0
1463,600 Winter St,Digital Realty Trust,,,,,,,3400.0
1464,600-780 South Federal,Digital Realty Trust,,,,,,5000.0,10000.0
1465,717 Leonard Street,Digital Realty Trust,,,,,,,
1466,720 Second Street,Digital Realty Trust,,,,,,4645.0,12325.0
1467,731 E Trade St,Digital Realty Trust,,,,,,,
1468,7401 E. Ben White Boulevard,Digital Realty Trust,,,,,,6200.0,2400.0
1469,7500 Metro Center Dr,Digital Realty Trust,,,,,,2500.0,8000.0
1470,7505 Mason King Court,Digital Realty Trust,,,,,,,
1471,760 Doug Davis Dr,Digital Realty Trust,,,,,,,
1472,7620 Metro Center Drive,Digital Realty Trust,,,,,,1200.0,750.0
1473,8100 Boone Boulevard,Digital Realty Trust,,,,,,929.0,800.0
1474,"8201 E. Riverside Drive, Building 4-6",Digital Realty Trust,,,,,,4000.0,
1475,8435 N. Stemmons Freeway,Digital Realty Trust,,,,,,3252.0,4000.0
1476,850 E. Collins Blvd,Digital Realty Trust,,,,,,5574.0,12400.0
1477,8534 Concord Center Dr,Digital Realty Trust,,,,,,,
1478,900 Quality Way,Digital Realty Trust,,,,,,5574.0,12400.0
1479,904 Quality Way,Digital Realty Trust,,,,,,3716.0,20000.0
1480,907 Security Row,Digital Realty Trust,,,,,,6503.0,12750.0
1481,908 Quality Way,Digital Realty Trust,,,,,,650.0,
1482,"9333, 9355 & 9377 Grand Ave.",Digital Realty Trust,,,,,,16723.0,60000.0
1483,950 E. Collins Blvd,Digital Realty Trust,,,,,,5574.0,12400.0
1484,SBP1,"Digital West Networks, Inc.",,,,,,,
1485,Intergate West,digital.forest,,,,,,,
1486,Ashburn,Dimension Data,,,,,,,
1487,Ashburn 2,Dimension Data,,,,,,,
1488,San Jose,Dimension Data,,,,,,,
1489,Austin Technology Park,Dimension Mission Critical Facilities,,,,,,,
1490,Dallas (Plano),Dimension Mission Critical Facilities,,,,,,,
1491,Kings Mountain,Disney,,,,,,,
1492,"The Fort  Honolulu, Hawaii",DRFortress,,,,,,,
1493,Ultra Green Center,DTS-Net,,,,,,,
1494,Dynamic Quest,Dynamic Quest,,,,,,,
1495,Austin,Eagle Eye Networks,,,,,,,
1496,Boulder,Earthnet,,,,,,,
1497,Beaverton,EasyStreet Online,,,,,,,
1498,Arizona,Ebay,,,,,,,
1499,Utah,Ebay,,,,,,,
1500,EdgeBCC,EdgeBCC,,,,,,929.0,500.0
1501,Atlanta,EdgeConneX,,,,,,622.0,
1502,Boston,EdgeConneX,,,,,,1124.0,
1503,Denver,EdgeConneX,,,,,,557.0,
1504,Detroit,EdgeConneX,,,,,,929.0,
1505,Houston,EdgeConneX,,,,,,1030.0,
1506,Jacksonville,EdgeConneX,,,,,,673.0,
1507,Las Vegas,EdgeConneX,,,,,,380.0,
1508,Memphis,EdgeConneX,,,,,,566.0,
1509,Miami,EdgeConneX,,,,,,641.0,
1510,Nashville,EdgeConneX,,,,,,510.0,
1511,Norfolk,EdgeConneX,,,,,,473.0,
1512,Phoenix,EdgeConneX,,,,,,798.0,
1513,Pittsburgh,EdgeConneX,,,,,,464.0,
1514,Portland,EdgeConneX,,,,,,557.0,
1515,Richmond,EdgeConneX,,,,,,700.0,
1516,Sacramento,EdgeConneX,,,,,,622.0,
1517,Salt Lake City,EdgeConneX,,,,,,500.0,
1518,San Diego,EdgeConneX,,,,,,,
1519,Seattle,EdgeConneX,,,,,,600.0,
1520,Tallahassee,EdgeConneX,,,,,,399.0,
1521,Durham,Emerging Markets Communications (EMC),,,,,,,
1522,Nexus Management,EnablesIT,,,,,,,
1523,ENGUARD Data Center,Enguard,,,,,,,
1524,Chicago (CHI2),Enseva,,,,,,,1050.0
1525,Dubuque,Enseva,,,,,,,
1526,Hiawatha,Enseva,,,,,,,
1527,Infocrossing,Ensono,,,,,,,
1528,Infocrossing,Ensono,,,,,,,
1529,Kings Mountain,Ensono,,,,,,,
1530,Enterprise Cloud Computing Center EC3,Enterprise Cloud Computing Center EC3,,,,,,,
1531,Atlanta 1,Equinix,,,,,,3996.0,
1532,Atlanta 4,Equinix,,,,,,,
1533,Atlanta 5,Equinix,,,,,,,
